;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nacelle NC10...;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;- Tableau des résultats -;;;
 n° point;Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés); n° point;Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés)
32;0,132366;2,02;0,132366;2,018;0,133633;3,722;0,133633;3,662;0,129294;4,993;0,129294;5,476;0,133646;3,38;0,133646;5,498;0,12954;-0,569;0,12954;2,231;0,129569;-4,005;0,129569;-3,282;0,129546;-3,779;0,129546;-9,328;0,129291;4,819;0,129291;-1,55;0,133725;-4,405;0,133725;7,638;0,129502;-0,241;0,129502;3,948;32;0,132669;-4,107;0,132669;-0,362
33;0,136443;2,078;0,136443;2,067;0,13771;3,806;0,13771;3,822;0,13337;4,972;0,13337;5,6;0,137752;3,1;0,137752;5,55;0,133623;-1,075;0,133623;1,895;0,133615;-4,352;0,133615;-3,978;0,133677;-3,159;0,133677;-9,006;0,133369;4,325;0,133369;1,698;0,137806;-4,926;0,137806;9,141;0,133601;1,706;0,133601;2,542;33;0,136744;-4,977;0,136744;0,983
34;0,140547;2,137;0,140547;2,13;0,141816;3,889;0,141816;3,993;0,137446;4,939;0,137446;5,715;0,141857;2,802;0,141857;5,512;0,137726;-1,572;0,137726;1,488;0,137765;-4,635;0,137765;-4,564;0,137754;-2,454;0,137754;-8,449;0,137474;3,541;0,137474;5,083;0,141906;-4,944;0,141906;9,818;0,137705;3,389;0,137705;0,986;34;0,140849;-4,564;0,140849;2,217
35;0,14463;2,194;0,14463;2,197;0,14592;3,968;0,14592;4,151;0,141569;4,892;0,141569;5,806;0,145932;2,492;0,145932;5,366;0,14181;-2,05;0,14181;0,997;0,141828;-4,836;0,141828;-5,056;0,141858;-1,672;0,141858;-7,618;0,141576;2,525;0,141576;8,269;0,146018;-4,452;0,146018;9,679;0,141781;4,541;0,141781;-0,521;35;0,14495;-2,964;0,14495;3,074
36;0,148731;2,252;0,148731;2,269;0,149997;4,045;0,149997;4,312;0,145637;4,833;0,145637;5,86;0,150037;2,166;0,150037;5,137;0,14593;-2,511;0,14593;0,419;0,14594;-4,959;0,14594;-5,468;0,145994;-0,835;0,145994;-6,59;0,145655;1,348;0,145655;10,933;0,150095;-3,509;0,150095;8,847;0,145885;4,997;0,145885;-1,593;36;0,149061;-0,589;0,149061;3,376
37;0,152836;2,31;0,152836;2,347;0,154104;4,12;0,154104;4,46;0,149733;4,76;0,149733;5,875;0,154145;1,828;0,154145;4,836;0,150026;-2,942;0,150026;-0,256;0,150061;-5;0,150061;-5,806;0,150051;0,011;0,150051;-5,36;0,149814;0,058;0,149814;12,834;0,154194;-2,202;0,154194;7,385;0,150019;4,672;0,150019;-2,249;37;0,153176;1,943;0,153176;2,967
38;0,156916;2,366;0,156916;2,421;0,15821;4,191;0,15821;4,593;0,153836;4,675;0,153836;5,833;0,158236;1,482;0,158236;4,481;0,1541;-3,339;0,1541;-1,033;0,154127;-4,958;0,154127;-6,076;0,154128;0,86;0,154128;-4,05;0,153864;-1,202;0,153864;13,9;0,158292;-0,669;0,158292;5,41;0,154094;3,63;0,154094;-2,284;38;0,157276;3,961;0,157276;2,061
39;0,161018;2,423;0,161018;2,506;0,162295;4,26;0,162295;4,704;0,157959;4,577;0,157959;5,748;0,162379;1,123;0,162379;4,067;0,158221;-3,706;0,158221;-1,912;0,158213;-4,835;0,158213;-6,282;0,158248;1,693;0,158248;-2,613;0,157978;-2,403;0,157978;14,11;0,162379;0,929;0,162379;3,088;0,158207;2,016;0,158207;-1,775;39;0,161331;4,946;0,161331;0,752
40;0,165096;2,479;0,165096;2,599;0,166371;4,325;0,166371;4,796;0,162045;4,468;0,162045;5,64;0,16641;0,768;0,16641;3,604;0,16231;-4,031;0,16231;-2,828;0,162331;-4,63;0,162331;-6,412;0,162337;2,47;0,162337;-1,202;0,162056;-3,436;0,162056;13,499;0,166481;2,437;0,166481;0,435;0,162284;0,104;0,162284;-0,774;40;0,165435;4,664;0,165435;-0,533
41;0,1692;2,534;0,1692;2,696;0,170481;4,389;0,170481;4,873;0,166133;4,347;0,166133;5,534;0,170515;0,402;0,170515;3,105;0,166384;-4,312;0,166384;-3,709;0,166378;-4,353;0,166378;-6,451;0,166441;3,178;0,166441;0,187;0,166134;-4,244;0,166134;12,123;0,170591;3,696;0,170591;-2,268;0,166366;-1,825;0,166366;0,567;41;0,169541;3,167;0,169541;-1,607
