Temps,Consigne,Ecart,I moteur,vitesse
s,mm/s,mm/s,mA,mm/s
2.900,0.000,0.000,-115.234,0.000
2.910,0.000,0.000,-116.699,0.000
2.920,0.000,0.000,-117.188,0.000
2.930,0.000,0.000,-116.699,0.000
2.940,0.000,0.000,-116.211,0.000
2.950,0.000,0.000,-116.699,0.000
2.960,0.000,0.000,-115.234,0.000
2.970,0.000,0.000,-117.188,0.000
2.980,0.000,0.000,-124.512,0.000
2.990,0.000,0.000,-116.211,0.000
3.000,0.000,0.000,-118.164,0.000
3.010,0.000,0.000,-115.234,0.000
3.020,0.000,0.000,-115.234,0.000
3.030,0.000,0.000,-118.164,0.000
3.040,0.000,0.000,-117.188,0.000
3.050,0.000,0.000,-116.211,0.000
3.060,0.000,0.000,-119.629,0.000
3.070,0.000,0.000,-119.629,0.000
3.080,0.000,0.000,-115.234,0.000
3.090,0.000,0.000,-117.676,0.000
3.100,0.000,0.000,-117.188,0.000
3.110,0.000,0.000,-117.188,0.000
3.120,0.000,0.000,-116.699,0.000
3.130,0.000,0.000,-116.211,0.000
3.140,0.000,0.000,-116.211,0.000
3.150,0.000,0.000,-117.188,0.000
3.160,0.000,0.000,-115.723,0.000
3.170,0.000,0.000,-117.676,0.000
3.180,0.000,0.000,-118.652,0.000
3.190,0.000,0.000,-118.164,0.000
3.200,0.000,0.000,-116.211,0.000
3.210,0.000,0.000,-117.188,0.000
3.220,0.000,0.000,-120.605,0.000
3.230,0.000,0.000,-116.211,0.000
3.240,0.000,0.000,-115.723,0.000
3.250,0.000,0.000,-114.258,0.000
3.260,0.000,0.000,-113.770,0.000
3.270,0.000,0.000,-119.141,0.000
3.280,0.000,0.000,-117.676,0.000
3.290,0.000,0.000,-116.211,0.000
3.300,0.000,0.000,-118.652,0.000
3.310,0.000,0.000,-118.164,0.000
3.320,0.000,0.000,-118.164,0.000
3.330,0.000,0.000,-117.676,0.000
3.340,0.000,0.000,-118.652,0.000
3.350,0.000,0.000,-115.234,0.000
3.360,0.000,0.000,-117.676,0.000
3.370,0.000,0.000,-117.676,0.000
3.380,0.000,0.000,-117.676,0.000
3.390,0.000,0.000,-117.676,0.000
3.400,0.000,0.000,-117.188,0.000
3.410,0.000,0.000,-118.164,0.000
3.420,0.000,0.000,-117.188,0.000
3.430,0.000,0.000,-114.258,0.000
3.440,0.000,0.000,-115.723,0.000
3.450,0.000,0.000,-117.676,0.000
3.460,0.000,0.000,-114.746,0.000
3.470,0.000,0.000,-119.141,0.000
3.480,0.000,0.000,-118.164,0.000
3.490,0.000,0.000,-118.164,0.000
3.500,0.000,0.000,-117.676,0.000
3.510,0.000,0.000,-121.582,0.000
3.520,0.000,0.000,-115.723,0.000
3.530,0.000,0.000,-119.141,0.000
3.540,0.000,0.000,-116.211,0.000
3.550,0.000,0.000,-116.211,0.000
3.560,0.000,0.000,-119.141,0.000
3.570,0.000,0.000,-115.723,0.000
3.580,0.000,0.000,-118.164,0.000
3.590,0.000,0.000,-116.211,0.000
3.600,0.000,0.000,-120.117,0.000
3.610,0.000,0.000,-120.117,0.000
3.620,0.000,0.000,-120.117,0.000
3.630,0.000,0.000,-117.188,0.000
3.640,0.000,0.000,-117.188,0.000
3.650,0.000,0.000,-116.699,0.000
3.660,0.000,0.000,-116.211,0.000
3.670,0.000,0.000,-117.188,0.000
3.680,0.000,0.000,-113.281,0.000
3.690,0.000,0.000,-115.723,0.000
3.700,0.000,0.000,-116.211,0.000
3.710,0.000,0.000,-115.234,0.000
3.720,0.000,0.000,-115.723,0.000
3.730,0.000,0.000,-120.117,0.000
3.740,0.000,0.000,-118.652,0.000
3.750,0.000,0.000,-117.676,0.000
3.760,0.000,0.000,-117.676,0.000
3.770,0.000,0.000,-115.234,0.000
3.780,0.000,0.000,-120.605,0.000
3.790,0.000,0.000,-118.164,0.000
3.800,0.000,0.000,-119.141,0.000
3.810,0.000,0.000,-117.188,0.000
3.820,0.000,0.000,-114.258,0.000
3.830,0.000,0.000,-116.211,0.000
3.840,0.000,0.000,-117.676,0.000
3.850,0.000,0.000,-117.188,0.000
3.860,0.000,0.000,-111.816,0.000
3.870,0.000,0.000,-119.141,0.000
3.880,0.000,0.000,-118.652,0.000
3.890,0.000,0.000,-117.188,0.000
3.900,0.000,0.000,-118.164,0.000
3.910,0.000,0.000,-119.629,0.000
3.920,0.000,0.000,-117.676,0.000
3.930,0.000,0.000,-119.629,0.000
3.940,0.000,0.000,-117.188,0.000
3.950,0.000,0.000,-118.652,0.000
3.960,0.000,0.000,-120.605,0.000
3.970,0.000,0.000,-116.211,0.000
3.980,0.000,0.000,-119.629,0.000
3.990,0.000,0.000,-118.164,0.000
4.000,0.000,0.000,-117.188,0.000
4.010,0.000,0.000,-117.188,0.000
4.020,0.000,0.000,-117.188,0.000
4.030,0.000,0.000,-111.328,0.000
4.040,0.000,0.000,-117.188,0.000
4.050,0.000,0.000,-114.746,0.000
4.060,0.000,0.000,-117.676,0.000
4.070,0.000,0.000,-119.141,0.000
4.080,0.000,0.000,-117.676,0.000
4.090,0.000,0.000,-118.652,0.000
4.100,0.000,0.000,-116.699,0.000
4.110,0.000,0.000,-117.676,0.000
4.120,0.000,0.000,-117.188,0.000
4.130,0.000,0.000,-116.211,0.000
4.140,0.000,0.000,-119.629,0.000
4.150,0.000,0.000,-115.723,0.000
4.160,0.000,0.000,-115.234,0.000
4.170,0.000,0.000,-118.652,0.000
4.180,0.000,0.000,-118.652,0.000
4.190,0.000,0.000,-119.141,0.000
4.200,0.000,0.000,-117.676,0.000
4.210,0.000,0.000,-113.770,0.000
4.220,0.000,0.000,-120.605,0.000
4.230,0.000,0.000,-117.188,0.000
4.240,0.000,0.000,-119.141,0.000
4.250,0.000,0.000,-118.164,0.000
4.260,0.000,0.000,-114.258,0.000
4.270,0.000,0.000,-119.629,0.000
4.280,0.000,0.000,-117.676,0.000
4.290,0.000,0.000,-121.094,0.000
4.300,0.000,0.000,-118.652,0.000
4.310,0.000,0.000,-115.723,0.000
4.320,0.000,0.000,-114.746,0.000
4.330,0.000,0.000,-114.258,0.000
4.340,0.000,0.000,-116.699,0.000
4.350,0.000,0.000,-116.699,0.000
4.360,0.000,0.000,-119.141,0.000
4.370,0.000,0.000,-119.141,0.000
4.380,0.000,0.000,-110.840,0.000
4.390,0.000,0.000,-114.258,0.000
