Temps,vitesse,I moteur,accélération,position,U moteur,Sortie Reg.
s,mm/s,mA,mm/s²,mm,V,mA
2.600,-0.132,-3.906,21.626,202.744,0.423,0.000
2.610,0.000,-17.090,-10.813,202.744,0.347,0.000
2.620,0.000,-13.672,-2.703,202.744,0.228,0.000
2.630,0.000,23.926,8.110,202.744,-0.543,0.000
2.640,0.000,12.695,-2.703,202.744,-0.054,0.000
2.650,0.000,-5.859,2.703,202.744,0.521,0.000
2.660,-0.132,-5.371,-2.703,202.743,-0.152,0.000
2.670,0.000,4.883,0.000,202.744,-0.271,0.000
2.680,0.000,11.230,0.000,202.743,-0.532,0.000
2.690,0.000,17.578,2.703,202.743,-0.109,0.000
2.700,0.000,-3.906,-2.703,202.743,0.195,0.000
2.710,0.000,-18.555,2.703,202.743,0.217,0.000
2.720,0.132,2.930,2.703,202.745,-0.076,0.000
2.730,0.396,3.418,8.110,202.748,0.532,0.000
2.740,-1.056,3.906,-21.626,202.740,-0.705,0.000
2.750,0.000,12.207,-2.703,202.739,0.141,0.000
2.760,0.000,-17.578,-5.407,202.739,0.174,0.000
2.770,0.000,13.672,27.033,202.739,-0.282,0.000
2.780,0.000,21.484,-29.736,202.739,-0.011,0.000
2.790,0.000,-20.508,21.626,202.739,0.391,0.000
