temps;TRH1;EFN
temps;trs/min Droit;Effort milli N
0011.348;04632; 00265
0011.363;04632; 00265
0011.377;04632; 00265
0011.395;04632; 00265
0011.409;04632; 00265
0011.427;04632; 00265
0011.441;04727; 00255
0011.456;04727; 00255
0011.471;04632; 00255
0011.486;04727; 00245
0011.503;04727; 00245
0011.518;04727; 00245
0011.533;04727; 00245
0011.550;04727; 00245
0011.565;04825; 00255
0011.580;04727; 00245
0011.597;04727; 00255
0011.612;04727; 00265
0011.629;04825; 00275
0011.642;04825; 00275
0011.659;04825; 00284
0011.674;04825; 00284
0011.689;04825; 00275
0011.706;04825; 00284
0011.721;04727; 00265
0011.736;04727; 00245
0011.753;04825; 00235
0011.768;04825; 00235
0011.783;04825; 00265
0011.798;04825; 00265
0011.815;04825; 00275
0011.830;04825; 00275
0011.847;04825; 00265
0011.862;04825; 00245
0011.877;04825; 00245
0011.892;04825; 00245
0011.909;04727; 00265
0011.924;04825; 00255
0011.939;04825; 00265
0011.956;04825; 00255
0011.971;04825; 00265
0011.985;04825; 00255
0012.000;04825; 00265
0012.017;04825; 00284
0012.032;04825; 00294
0012.047;04825; 00284
0012.064;04826; 00294
0012.079;04825; 00284
0012.094;04825; 00275
0012.141;04825; 00324
0012.158;04825; 00324
0012.173;04825; 00324
0012.203;04825; 00304
0012.220;04826; 00284
0012.235;04825; 00284
0012.267;04825; 00314
0012.282;04825; 00304
0012.297;04825; 00294
0012.314;04825; 00284
0012.329;04825; 00275
0012.346;04825; 00284
0012.361;04826; 00304
0012.376;04825; 00304
0012.391;04825; 00294
0012.408;04825; 00314
0012.423;04826; 00294
0012.438;04825; 00284
0012.453;04825; 00294
0012.470;04825; 00314
0012.485;04928; 00304
0012.502;04928; 00334
0012.517;04825; 00324
0012.532;04825; 00304
0012.547;04826; 00304
0012.564;04928; 00294
0012.579;04928; 00294
0012.593;04826; 00294
0012.611;04825; 00294
0012.625;04825; 00294
0012.640;04825; 00294
0012.657;04928; 00294
0012.672;04826; 00304
0012.687;04825; 00304
0012.702;04928; 00314
0012.719;04825; 00314
0012.734;04825; 00304
0012.749;04928; 00314
0012.764;04928; 00334
0012.781;04825; 00343
0012.796;04929; 00334
0012.813;04928; 00334
0012.828;04928; 00314
0012.843;04928; 00314
0012.858;04928; 00334
0012.875;04928; 00314
0012.890;04928; 00304
0012.907;04928; 00304
0012.920;04928; 00314
0012.937;04928; 00314
0012.952;04928; 00314
0012.969;04928; 00324
0012.984;04928; 00324
0012.999;04928; 00314
0013.016;04928; 00324
0013.031;04928; 00314
0013.046;04929; 00314
0013.061;04928; 00334
0013.076;04928; 00324
0013.093;04928; 00314
0013.108;05035; 00304
0013.123;05035; 00304
0013.140;05035; 00314
0013.155;04929; 00314
0013.169;04928; 00324
0013.187;04928; 00314
0013.202;05035; 00314
0013.216;04928; 00334
0013.231;04928; 00334
0013.248;05035; 00334
0013.263;05035; 00343
0013.278;04928; 00334
0013.295;05035; 00304
0013.310;04928; 00324
0013.325;05035; 00304
0013.342;05035; 00304
0013.357;05035; 00314
0013.372;05035; 00294
0013.387;05035; 00294
0013.404;05035; 00334
0013.419;05035; 00334
0013.434;05035; 00343
0013.451;04928; 00363
0013.466;05035; 00363
0013.481;05035; 00363
0013.498;05035; 00363
0013.513;05035; 00353
0013.528;05147; 00363
0013.560;05035; 00373
0013.592;05147; 00353
0013.607;05035; 00353
0013.637;05147; 00343
0013.654;05147; 00363
0013.669;05035; 00363
0013.701;05147; 00353
0013.716;05035; 00334
0013.733;05035; 00353
0013.748;05035; 00343
0013.778;05035; 00343
0013.795;05035; 00343
0013.810;05035; 00334
0013.824;05147; 00324
0013.842;05147; 00324
0013.856;05147; 00334
0013.871;05147; 00334
0013.888;05147; 00334
0013.903;05148; 00343
0013.920;05147; 00334
0013.935;05147; 00324
0013.950;05147; 00324
0013.967;05147; 00334
0013.980;05147; 00334
0013.997;05147; 00334
0014.012;05147; 00334
0014.027;05264; 00334
0014.044;05147; 00324
0014.059;05147; 00324
0014.074;05147; 00334
0014.091;05147; 00334
0014.106;05264; 00334
0014.121;05148; 00334
0014.136;05265; 00334
0014.153;05147; 00343
0014.168;05147; 00353
0014.185;05264; 00353
0014.200;05147; 00353
0014.215;05147; 00353
0014.232;05147; 00353
0014.247;05148; 00353
0014.262;05264; 00353
0014.277;05147; 00343
0014.292;05147; 00353
0014.309;05148; 00353
0014.324;05147; 00353
0014.339;05147; 00353
0014.356;05148; 00343
0014.371;05148; 00353
0014.386;05147; 00343
0014.403;05264; 00353
0014.418;05147; 00353
0014.432;05264; 00353
0014.447;05147; 00353
0014.464;05147; 00343
0014.479;05264; 00363
0014.494;05264; 00363
0014.511;05147; 00363
0014.526;05147; 00363
0014.541;05147; 00363
0014.556;05265; 00353
0014.573;05264; 00363
0014.588;05147; 00373
0014.603;05264; 00373
0014.620;05147; 00363
0014.635;05264; 00363
0014.650;05264; 00353
0014.667;05147; 00353
0014.682;05264; 00363
0014.697;05264; 00353
0014.714;05264; 00353
0014.729;05264; 00353
0014.746;05264; 00353
0014.761;05387; 00353
0014.776;05387; 00353
0014.791;05264; 00363
0014.806;05387; 00363
0014.823;05264; 00353
0014.838;05264; 00353
0014.853;05264; 00363
0014.870;05387; 00363
0014.885;05387; 00363
0014.900;05387; 00353
0014.919;05387; 00363
0014.932;05387; 00363
0014.947;05386; 00363
0014.964;05387; 00353
0014.979;05264; 00353
0014.994;05264; 00363
0015.011;05386; 00353
0015.026;05387; 00363
0015.040;05264; 00353
0015.055;05387; 00363
0015.072;05264; 00363
0015.087;05264; 00353
0015.102;05264; 00363
0015.134;05264; 00363
0015.151;05387; 00363
0015.181;05264; 00363
0015.196;05387; 00363
0015.228;05264; 00363
0015.243;05386; 00353
0015.258;05387; 00353
0015.275;05386; 00363
0015.290;05387; 00353
0015.307;05264; 00353
0015.322;05386; 00353
0015.337;05264; 00353
0015.352;05264; 00363
0015.369;05387; 00363
0015.384;05264; 00353
0015.399;05386; 00363
0015.416;05264; 00363
0015.431;05387; 00363
0015.446;05264; 00353
0015.463;05264; 00363
0015.478;05264; 00353
0015.495;05264; 00353
0015.510;05386; 00363
0015.525;05386; 00353
0015.540;05386; 00363
0015.555;05386; 00363
0015.572;05387; 00363
0015.587;05264; 00363
0015.602;05387; 00363
0015.619;05387; 00363
0015.634;05387; 00363
0015.651;05387; 00353
0015.663;05387; 00363
0015.680;05387; 00363
0015.695;05387; 00353
0015.710;05387; 00363
0015.727;05386; 00353
0015.744;05387; 00363
0015.757;05387; 00363
0015.774;05387; 00363
0015.791;05515; 00363
0015.804;05387; 00363
0015.821;05387; 00363
0015.836;05387; 00353
0015.851;05387; 00363
0015.868;05387; 00363
0015.883;05515; 00353
0015.898;05515; 00363
0015.913;05387; 00353
0015.930;05386; 00363
0015.945;05515; 00363
0015.960;05515; 00363
0015.975;05515; 00353
0015.992;05515; 00353
0016.007;05515; 00353
0016.022;05515; 00353
0016.039;05515; 00363
0016.054;05515; 00353
0016.069;05387; 00353
0016.086;05515; 00363
0016.103;05387; 00363
0016.116;05515; 00353
0016.133;05515; 00363
0016.148;05515; 00363
0016.163;05515; 00363
0016.178;05515; 00363
0016.195;05515; 00363
0016.210;05386; 00363
0016.224;05515; 00363
0016.242;05515; 00373
0016.256;05515; 00373
0016.271;05387; 00373
0016.288;05386; 00373
0016.303;05386; 00373
0016.318;05387; 00373
0016.335;05387; 00373
0016.350;05515; 00373
0016.365;05386; 00363
0016.380;05515; 00363
0016.397;05515; 00373
0016.412;05515; 00373
0016.427;05515; 00373
0016.442;05515; 00373
0016.459;05650; 00373
0016.474;05515; 00373
0016.489;05515; 00373
0016.506;05515; 00373
0016.521;05515; 00373
0016.536;05515; 00373
0016.568;05515; 00383
0016.598;05515; 00383
0016.615;05515; 00383
0016.630;05515; 00383
0016.662;05650; 00383
0016.677;05650; 00373
0016.694;05515; 00383
0016.709;05650; 00383
0016.724;05650; 00383
0016.741;05650; 00373
0016.756;05650; 00373
0016.771;05650; 00363
0016.786;05650; 00363
0016.803;05650; 00373
0016.818;05791; 00373
0016.833;05650; 00373
0016.850;05650; 00373
0016.865;05650; 00373
0016.882;05650; 00373
0016.897;05790; 00373
0016.911;05650; 00373
0016.929;05650; 00373
0016.941;05791; 00373
0016.958;05650; 00383
0016.973;05650; 00383
0016.988;05790; 00383
0017.005;05650; 00392
0017.020;05650; 00392
0017.035;05650; 00392
0017.052;05650; 00392
0017.067;05650; 00392
0017.082;05650; 00383
0017.097;05515; 00392
0017.114;05650; 00392
0017.129;05650; 00383
0017.146;05515; 00383
0017.161;05650; 00383
0017.178;05650; 00383
0017.191;05650; 00392
0017.208;05515; 00392
0017.223;05650; 00392
0017.238;05650; 00392
0017.253;05650; 00383
0017.270;05650; 00392
0017.285;05650; 00392
0017.300;05515; 00392
0017.317;05650; 00383
0017.332;05650; 00383
0017.347;05515; 00392
0017.364;05650; 00392
0017.379;05650; 00392
0017.396;05515; 00383
0017.411;05649; 00392
0017.426;05515; 00392
0017.441;05650; 00402
0017.458;05650; 00392
0017.473;05515; 00402
0017.487;05650; 00402
0017.505;05650; 00402
0017.520;05650; 00402
0017.534;05650; 00402
0017.549;05650; 00402
0017.564;05650; 00402
0017.581;05650; 00402
0017.596;05650; 00402
0017.611;05650; 00402
0017.628;05650; 00402
0017.643;05650; 00402
0017.658;05650; 00402
0017.675;05650; 00402
0017.690;05650; 00402
0017.705;05650; 00392
0017.720;05790; 00402
0017.737;05650; 00402
0017.752;05791; 00402
0017.767;05790; 00392
0017.784;05790; 00392
0017.801;05790; 00402
0017.814;05790; 00392
0017.831;05790; 00392
0017.846;05791; 00392
0017.861;05791; 00392
0017.878;05790; 00392
0017.893;05790; 00392
0017.908;05790; 00392
0017.923;05939; 00383
0017.940;05790; 00383
0017.955;05939; 00392
0017.970;05790; 00392
0017.987;05791; 00392
0018.002;05791; 00383
0018.019;05790; 00392
0018.049;05791; 00402
0018.081;05791; 00402
0018.095;05790; 00402
0018.125;05791; 00392
0018.142;05650; 00402
0018.157;05650; 00392
0018.174;05791; 00402
0018.189;05650; 00402
0018.204;05650; 00402
0018.221;05650; 00402
0018.236;05790; 00402
0018.253;05791; 00392
0018.268;05790; 00402
0018.283;05791; 00402
0018.300;05650; 00412
0018.313;05791; 00402
0018.330;05650; 00412
0018.345;05790; 00412
0018.362;05790; 00422
0018.377;05790; 00422
0018.392;05791; 00422
0018.409;05791; 00412
0018.424;05791; 00422
0018.439;05790; 00432
0018.454;05791; 00432
