temps;APEG;TV;TPC
temps;Angle Pivot;Gyromètre;Consigne tangage PC
0006.758;2303;26;1820
0006.774;2323;30;1820
0006.790;2343;28;1820
0006.806;2383;28;1820
0006.822;2403;24;1820
0006.838;2444;22;1820
0006.854;2423;24;1820
0006.867;2464;22;1820
0006.883;2504;22;1820
0006.899;2484;20;1820
0006.915;2544;24;1820
0006.931;2564;28;1820
0006.945;2604;30;1820
0006.961;2624;26;1820
0006.977;2644;28;1820
0006.993;2644;26;1820
0007.009;2704;26;1820
0007.025;2704;30;1820
0007.041;2784;32;1820
0007.057;2804;32;1820
0007.073;2824;30;1820
0007.086;2844;30;1820
0007.102;2864;30;-1820
0007.118;2864;18;-1820
0007.134;2884;14;-1820
0007.147;2904;10;-1820
0007.163;2904;4;-1820
0007.179;2904;-2;-1820
0007.195;2864;-8;-1820
0007.211;2864;-8;-1820
0007.227;2844;-12;-1820
0007.243;2824;-12;-1820
0007.257;2804;-14;-1820
0007.273;2824;-10;-1820
0007.302;2764;-8;-1820
0007.321;2764;-10;-1820
0007.334;2744;-10;-1820
0007.350;2744;-8;-1820
0007.366;2724;-8;-1820
0007.382;2724;-10;-1820
0007.398;2704;-8;-1820
0007.414;2704;-8;-1820
0007.430;2684;-8;-1820
0007.446;2684;-4;-1820
0007.459;2664;-6;-1820
0007.475;2664;-6;-1820
0007.491;2664;-4;-1820
0007.507;2464;-22;-1820
0007.523;2624;-6;-1820
0007.539;2624;-6;-1820
0007.555;2584;-10;-1820
0007.569;2604;-8;-1820
0007.585;2604;-10;-1820
0007.601;2564;-12;-1820
0007.630;2564;-16;-1820
0007.646;2524;-16;-1820
0007.662;2504;-16;-1820
0007.678;2484;-16;-1820
0007.694;2464;-16;-1820
0007.710;2464;-14;-1820
0007.726;2423;-16;-1820
0007.739;2444;-14;-1820
0007.766;2403;-12;-1820
0007.771;2403;-14;-1820
0007.787;2383;-16;-1820
0007.803;2343;-14;-1820
0007.819;2323;-16;-1820
0007.835;2283;-18;-1820
0007.849;2283;-16;-1820
0007.865;2183;-24;-1820
0007.881;2263;-12;-1820
0007.897;2223;-14;-1820
0007.913;2203;-16;-1820
0007.926;2243;-12;-1820
0007.942;2203;-14;-1820
0007.958;2203;-14;-1820
0007.974;2163;-16;-1820
0007.990;2143;-16;-1820
0008.006;2103;-20;-1820
0008.035;2083;-18;-1820
0008.051;2063;-18;-1820
0008.081;2003;-20;-1820
0008.099;1983;-20;-1820
0008.113;1963;-20;-1820
0008.129;1963;-18;-1820
0008.145;1923;-20;-1820
0008.161;1903;-20;-1820
0008.177;1863;-18;-1820
0008.193;1843;-20;-1820
0008.209;1823;-20;-1820
0008.225;1783;-24;-1820
0008.238;1823;-18;-1820
0008.254;1742;-20;-1820
0008.270;1742;-20;-1820
0008.286;1722;-20;-1820
0008.302;1702;-20;-1820
0008.318;1662;-20;-1820
0008.334;1642;-22;-1820
0008.347;1622;-20;-1820
0008.363;1622;-24;-1820
0008.379;1622;-22;-1820
0008.395;1522;-22;-1820
0008.411;1542;-22;-1820
0008.441;1482;-22;-1820
0008.457;1462;-18;-1820
0008.473;1402;-20;-1820
0008.489;1402;-18;-1820
0008.502;1382;-18;-1820
0008.521;1342;-20;-1820
0008.534;1342;-18;-1820
0008.550;1322;-22;-1820
0008.566;1302;-20;-1820
0008.582;1262;-22;-1820
0008.598;1242;-22;-1820
0008.614;1202;-22;-1820
0008.627;1182;-28;-1820
0008.643;1162;-24;-1820
0008.659;1102;-30;-1820
0008.675;1102;-26;-1820
0008.691;1041;-30;-1820
0008.705;1041;-26;-1820
0008.721;981;-30;-1820
0008.737;961;-28;-1820
0008.753;921;-28;-1820
0008.769;921;-24;-1820
0008.785;861;-24;-1820
0008.801;861;-22;-1820
0008.814;841;-22;-1820
0008.830;821;-24;-1820
0008.846;801;-22;-1820
0008.862;761;-24;-1820
0008.878;741;-22;-1820
0008.891;721;-22;-1820
0008.907;701;-22;-1820
0008.923;641;-24;-1820
0008.939;641;-26;-1820
0008.955;541;-34;-1820
0008.971;581;-26;-1820
0008.987;561;-26;-1820
0009.003;521;-24;-1820
0009.033;441;-26;-1820
0009.049;421;-24;-1820
0009.065;421;-22;-1820
0009.081;361;-22;-1820
0009.097;361;-22;-1820
0009.110;340;-22;-1820
0009.126;300;-26;-1820
0009.142;260;-28;-1820
0009.158;240;-26;-1820
0009.174;220;-26;-1820
0009.190;200;-24;-1820
0009.203;180;-26;-1820
0009.219;140;-22;-1820
0009.235;100;-26;-1820
0009.251;80;-24;-1820
0009.267;40;-26;-1820
0009.283;20;-28;-1820
0009.297;-40;-30;-1820
0009.315;-60;-32;-1820
0009.329;-80;-32;-1820
0009.345;-120;-30;-1820
0009.361;-160;-30;-1820
0009.390;-180;-26;-1820
0009.406;-220;-26;-1820
0009.422;-240;-26;-1820
0009.438;-300;-28;-1820
0009.454;-340;-28;-1820
0009.470;-361;-26;-1820
0009.486;-401;-28;-1820
0009.502;-441;-30;-1820
0009.515;-461;-30;-1820
0009.531;-481;-28;-1820
0009.547;-521;-26;-1820
0009.563;-541;-26;-1820
0009.579;-561;-26;-1820
0009.609;-621;-26;-1820
0009.625;-661;-30;-1820
0009.641;-701;-30;-1820
0009.657;-721;-28;-1820
0009.670;-761;-30;-1820
0009.689;-781;-30;-1820
0009.702;-821;-32;-1820
0009.718;-821;-28;-1820
0009.734;-881;-30;-1820
0009.750;-901;-28;-1820
0009.795;-1001;-28;-1820
0009.814;-1021;-26;-1820
0009.827;-1021;-24;-1820
0009.843;-1102;-28;-1820
0009.859;-1102;-26;-1820
0009.875;-1162;-26;-1820
0009.889;-1162;-24;-1820
0009.905;-1202;-28;-1820
0009.921;-1222;-24;-1820
0009.937;-1242;-24;-1820
0009.953;-1282;-22;-1820
0009.969;-1322;-24;-1820
0009.982;-1322;-26;-1820
0010.014;-1402;-26;-1820
0010.030;-1422;-24;-1820
0010.046;-1442;-26;-1820
0010.062;-1402;-16;-1820
0010.075;-1482;-26;-1820
0010.094;-1562;-26;-1820
0010.107;-1562;-28;-1820
0010.123;-1622;-30;-1820
0010.139;-1622;-28;-1820
0010.155;-1662;-28;-1820
0010.185;-1722;-26;-1820
0010.201;-1742;-26;-1820
0010.217;-1763;-24;-1820
0010.233;-1803;-24;-1820
0010.249;-1823;-22;-1820
0010.265;-1863;-24;-1820
0010.281;-1863;-20;-1820
0010.294;-1903;-22;-1820
0010.310;-1923;-22;-1820
0010.326;-1943;-26;-1820
0010.342;-2003;-28;-1820
0010.371;-2043;-26;-1820
0010.387;-2063;-24;-1820
0010.403;-2103;-26;-1820
0010.419;-2143;-30;-1820
0010.435;-2163;-26;-1820
0010.449;-2203;-28;-1820
0010.467;-2223;-24;-1820
0010.489;-2263;-24;-1820
0010.497;-2283;-26;-1820
0010.513;-2303;-28;-1820
0010.529;-2363;-28;-1820
0010.558;-2403;-28;-1820
0010.574;-2444;-26;-1820
0010.590;-2464;-24;-1820
0010.606;-2464;-26;-1820
0010.622;-2524;-28;-1820
0010.638;-2564;-30;-1820
0010.654;-2584;-28;-1820
0010.670;-2604;-28;-1820
0010.683;-2644;-30;-1820
0010.699;-2664;-30;-1820
0010.715;-2684;-28;-1820
0010.731;-2724;-26;-1820
0010.747;-2784;-28;-1820
0010.761;-2784;-24;-1820
0010.777;-2824;-28;-1820
0010.793;-2824;-24;-1820
0010.809;-2884;-28;-1820
0010.825;-2904;-26;-1820
0010.838;-2944;-28;-1820
