temps;APEG;TV;TPC
temps;Angle Pivot;Gyromètre;Consigne tangage PC
0008.598; 01242;-0022;-1820
0008.614; 01202;-0022;-1820
0008.627; 01182;-0028;-1820
0008.643; 01162;-0024;-1820
0008.659; 01102;-0030;-1820
0008.675; 01102;-0026;-1820
0008.691; 01041;-0030;-1820
0008.705; 01041;-0026;-1820
0008.721; 00981;-0030;-1820
0008.737; 00961;-0028;-1820
0008.753; 00921;-0028;-1820
0008.769; 00921;-0024;-1820
0008.785; 00861;-0024;-1820
0008.801; 00861;-0022;-1820
0008.814; 00841;-0022;-1820
0008.830; 00821;-0024;-1820
0008.846; 00801;-0022;-1820
0008.862; 00761;-0024;-1820
0008.878; 00741;-0022;-1820
0008.891; 00721;-0022;-1820
0008.907; 00701;-0022;-1820
0008.923; 00641;-0024;-1820
0008.939; 00641;-0026;-1820
0008.955; 00541;-0034;-1820
0008.971; 00581;-0026;-1820
0008.987; 00561;-0026;-1820
0009.003; 00521;-0024;-1820
0009.033; 00441;-0026;-1820
0009.049; 00421;-0024;-1820
0009.065; 00421;-0022;-1820
0009.081; 00361;-0022;-1820
0009.097; 00361;-0022;-1820
0009.110; 00340;-0022;-1820
0009.126; 00300;-0026;-1820
0009.142; 00260;-0028;-1820
0009.158; 00240;-0026;-1820
0009.174; 00220;-0026;-1820
0009.190; 00200;-0024;-1820
0009.203; 00180;-0026;-1820
0009.219; 00140;-0022;-1820
0009.235; 00100;-0026;-1820
0009.251; 00080;-0024;-1820
0009.267; 00040;-0026;-1820
0009.283; 00020;-0028;-1820
0009.297;-00040;-0030;-1820
0009.315;-00060;-0032;-1820
0009.329;-00080;-0032;-1820
0009.345;-00120;-0030;-1820
0009.361;-00160;-0030;-1820
0009.390;-00180;-0026;-1820
0009.406;-00220;-0026;-1820
0009.422;-00240;-0026;-1820
0009.438;-00300;-0028;-1820
0009.454;-00340;-0028;-1820
0009.470;-00361;-0026;-1820
0009.486;-00401;-0028;-1820
0009.502;-00441;-0030;-1820
0009.515;-00461;-0030;-1820
0009.531;-00481;-0028;-1820
0009.547;-00521;-0026;-1820
0009.563;-00541;-0026;-1820
0009.579;-00561;-0026;-1820
0009.609;-00621;-0026;-1820
0009.625;-00661;-0030;-1820
0009.641;-00701;-0030;-1820
0009.657;-00721;-0028;-1820
0009.670;-00761;-0030;-1820
0009.689;-00781;-0030;-1820
0009.702;-00821;-0032;-1820
0009.718;-00821;-0028;-1820
0009.734;-00881;-0030;-1820
0009.750;-00901;-0028;-1820
0009.795;-01001;-0028;-1820
0009.814;-01021;-0026;-1820
0009.827;-01021;-0024;-1820
0009.843;-01102;-0028;-1820
0009.859;-01102;-0026;-1820
0009.875;-01162;-0026;-1820
0009.889;-01162;-0024;-1820
0009.905;-01202;-0028;-1820
0009.921;-01222;-0024;-1820
0009.937;-01242;-0024;-1820
0009.953;-01282;-0022;-1820
0009.969;-01322;-0024;-1820
