Position - Lacet;Vitesse - Lacet;Courant moteur - Lacet
PL04_256.CRB;VL04_256.CRB;CL04_256.CRB
4.862000;4.862000;4.862000
deg.;deg./s;A
0,014107;-5,201852;-0,039848
-0,007206;-4,395327;-0,002007
-0,024823;-3,965816;0,020927
-0,036804;-2,300269;0,038128
-0,043757;-1,551011;0,069089
-0,046676;-0,887656;0,089730
-0,047486;-0,152715;0,096037
-0,047486;0,000000;0,102344
-0,047486;0,000000;0,097184
-0,047486;0,000000;0,104637
-0,047486;0,000000;0,098904
-0,047486;0,000000;0,104637
-0,046069;0,329292;0,096610
-0,044077;0,305430;0,096037
-0,041749;0,486779;0,092597
-0,038711;0,534502;0,092597
-0,034087;0,806526;0,084570
-0,027675;1,336256;0,078263
-0,019761;1,551011;0,072529
-0,011171;1,770539;0,047302
-0,003999;1,531922;0,038128
-0,000371;1,111956;0,030101
0,000017;0,000000;0,024941
-0,001282;-0,224300;0,010034
-0,002261;-0,281568;0,017487
-0,003054;-0,162260;0,014621
-0,003324;-0,085902;0,021501
-0,003831;-0,109764;0,015767
-0,005079;-0,200438;0,018634
-0,007391;-0,429511;0,019781
-0,010142;-0,586998;0,024941
-0,012572;-0,553592;0,025514
-0,013466;-0,324519;0,029528
-0,013466;0,000000;0,031248
-0,013466;0,000000;0,034115
-0,012656;0,229072;0,032968
-0,012656;0,000000;0,036408
-0,012386;0,000000;0,033541
-0,012116;0,052496;0,036408
-0,011407;0,157487;0,033541
-0,011087;0,076357;0,035261
-0,010783;0,071585;0,031248
-0,010547;0,028634;0,034688
-0,010074;0,114536;0,031821
-0,009703;0,081130;0,033541
-0,009703;0,023862;0,030101
-0,009703;0,000000;0,032968
-0,009703;0,000000;0,030674
-0,009703;0,000000;0,032395
-0,009703;0,000000;0,027808
-0,010496;0,000000;0,031821
-0,010867;-0,104992;0,030101
-0,012167;-0,257706;0,032395
-0,013719;-0,334064;0,029528
-0,014006;-0,004772;0,035261
-0,014006;0,000000;0,034115
-0,014006;0,000000;0,038128
-0,014006;0,000000;0,035835
-0,014006;0,000000;0,035835
-0,014006;0,000000;0,038702
-0,014006;0,000000;0,035261
-0,014006;0,000000;0,037555
-0,013196;0,229072;0,035835
-0,013196;0,000000;0,038702
-0,012639;0,104992;0,034688
-0,012032;0,138398;0,035261
-0,011323;0,167032;0,034115
-0,011002;0,090674;0,034688
-0,010783;0,062040;0,031821
-0,010783;0,000000;0,034688
-0,010783;0,000000;0,031248
-0,010783;0,000000;0,034115
-0,010783;0,000000;0,029528
-0,010783;0,000000;0,033541
-0,010783;0,000000;0,031821
-0,011576;-0,224300;0,033541
-0,011576;0,000000;0,030101
-0,012184;-0,119309;0,033541
-0,012808;-0,100219;0,031821
-0,012960;-0,047723;0,035261
-0,013264;-0,042951;0,032968
-0,013466;-0,047723;0,036408
-0,013466;0,000000;0,034688
-0,012656;0,229072;0,036408
-0,012656;0,000000;0,035261
-0,012656;0,000000;0,037555
-0,012352;0,081130;0,033541
-0,012201;0,033406;0,036408
-0,012032;0,033406;0,034115
-0,011880;0,033406;0,036981
-0,011863;0,014317;0,032968
-0,011863;0,000000;0,032968
-0,011863;0,000000;0,033541
-0,011863;0,000000;0,032395
-0,011863;0,000000;0,032395
-0,011863;0,000000;0,031821
-0,011863;0,000000;0,032968
-0,011863;0,000000;0,032395
-0,012656;0,000000;0,031821
-0,012656;0,000000;0,032968
-0,012656;0,000000;0,034115
-0,012656;0,000000;0,032968
-0,012656;0,000000;0,033541
-0,012656;0,000000;0,034115
-0,012656;0,000000;0,034115
-0,012116;0,000000;0,033541
-0,012116;0,152715;0,034688
-0,011694;0,119309;0,034688
-0,011374;0,062040;0,033541
