Temps,Consigne,Mesure,I moteur,U moteur,position,accélération,vitesse,Mes. Num. Vit.,Mes. Vitesse,S. Action D.,S. Action I.,S. Action P.,Ecart
s,mm/s,mm/s,mA,V,mm,mm/s²,mm/s,inc,mm/s,mm/s,mm/s,mm/s,mm/s
1.460,0.000,0.000,17.578,-0.380,114.734,0.000,0.000,0.000,0.000,0.000,404.410,0.000,0.000
1.470,0.000,0.264,12.695,0.304,114.737,8.110,0.396,3.000,0.396,0.000,404.410,0.000,0.000
1.480,0.000,0.132,-36.133,-0.152,114.735,-13.516,-0.660,-5.000,-0.660,-1.848,404.410,-0.396,-0.396
1.490,0.000,-0.528,31.738,-0.011,114.733,2.703,0.132,1.000,0.132,4.092,404.410,0.660,0.660
1.500,0.000,0.132,-20.996,0.488,114.734,-8.110,0.000,0.000,0.000,-2.508,404.410,-0.132,-0.132
1.510,0.000,0.000,-18.066,-0.043,114.733,18.923,-0.132,-1.000,-0.132,-0.132,404.410,0.000,0.000
1.520,0.000,0.000,23.926,-0.347,114.733,-24.330,0.000,0.000,0.000,0.528,404.410,0.132,0.132
1.530,0.000,0.000,-14.160,0.488,114.733,16.220,0.000,0.000,0.000,-0.528,404.410,0.000,0.000
1.540,0.000,0.132,-3.906,0.022,114.733,-2.703,-0.132,-1.000,-0.132,-0.264,404.410,0.000,0.000
1.550,0.000,0.000,21.484,-0.499,114.733,-2.703,0.000,0.000,0.000,0.396,404.410,0.132,0.132
1.560,0.000,0.000,-21.973,0.423,114.733,2.703,0.000,0.000,0.000,-0.528,404.410,0.000,0.000
1.570,0.000,0.000,-15.137,0.412,114.733,2.703,0.000,0.000,0.000,-0.264,404.410,0.000,0.000
1.580,0.000,0.000,9.766,-0.336,114.733,-2.703,0.000,0.000,0.000,-0.132,404.410,0.000,0.000
1.590,0.000,0.000,19.531,-0.065,114.733,2.703,0.000,0.000,0.000,0.000,404.410,0.000,0.000
1.600,0.000,0.000,-17.090,0.488,114.733,0.000,0.000,0.000,0.000,0.000,404.410,0.000,0.000
1.610,0.000,0.000,-14.160,0.250,114.733,0.000,0.000,0.000,0.000,0.000,404.410,0.000,0.000
1.620,0.000,0.000,4.883,-0.434,114.733,0.000,0.000,0.000,0.000,0.000,404.410,0.000,0.000
1.630,0.000,0.000,-29.297,0.347,114.733,0.000,0.000,0.000,0.000,0.000,404.410,0.000,0.000
1.640,0.000,0.000,19.531,-0.553,114.731,-8.110,-0.396,-3.000,-0.396,0.000,404.410,0.000,0.000
1.650,0.000,-0.396,8.301,-0.380,114.730,5.407,0.264,2.000,0.264,1.716,404.410,0.396,0.396
1.660,0.000,1.188,-22.461,0.608,114.740,16.220,0.792,6.000,0.792,-2.508,404.410,-0.264,-0.264
1.670,0.000,0.000,3.418,-0.401,114.739,5.407,-0.132,-1.000,-0.132,-3.036,404.410,-0.792,-0.792
1.680,0.000,-0.396,19.531,-0.575,114.737,-13.516,0.000,0.000,0.000,3.168,404.410,0.132,0.132
1.690,0.000,0.000,-10.254,0.391,114.738,0.000,0.132,1.000,0.132,0.132,404.410,0.000,0.000
1.700,0.000,0.000,-4.883,0.195,114.738,13.516,0.000,0.000,0.000,-0.660,404.410,-0.132,-0.132
1.710,0.000,-0.132,26.367,-0.380,114.737,-18.923,0.000,0.000,0.000,0.396,404.410,0.000,0.000
1.720,0.000,0.132,-11.230,0.467,114.738,0.000,0.000,0.000,0.000,0.000,404.410,0.000,0.000
1.730,0.000,-0.132,-6.836,0.152,114.737,2.703,0.000,0.000,0.000,0.000,404.410,0.000,0.000
1.740,0.000,0.000,22.949,-0.369,114.737,-2.703,0.000,0.000,0.000,0.000,404.410,0.000,0.000
1.750,0.000,0.000,-0.977,0.206,114.737,0.000,0.000,0.000,0.000,0.000,404.410,0.000,0.000
1.760,0.000,0.000,-6.836,0.575,114.737,0.000,0.000,0.000,0.000,0.000,404.410,0.000,0.000
1.770,0.000,0.000,-7.324,0.174,114.737,0.000,0.000,0.000,0.000,0.000,404.410,0.000,0.000
1.780,0.000,0.000,19.043,-0.597,114.737,0.000,0.000,0.000,0.000,0.000,404.410,0.000,0.000
1.790,0.000,0.000,17.090,-0.206,114.738,2.703,0.132,1.000,0.132,0.000,404.410,0.000,0.000
1.800,0.000,-0.132,-20.508,0.195,114.737,0.000,0.000,0.000,0.000,-0.660,404.410,-0.132,-0.132
1.810,0.000,0.000,-30.273,0.532,114.738,2.703,0.132,1.000,0.132,0.396,404.410,0.000,0.000
1.820,0.000,0.000,-10.254,-0.076,114.736,-10.813,-0.396,-3.000,-0.396,-0.528,404.278,-0.132,-0.132
1.830,0.000,-0.660,-5.371,0.326,114.732,-2.703,-0.264,-2.000,-0.264,2.112,404.410,0.396,0.396
