Temps,Ecart,I moteur,Mesure,vitesse,accélération,position,U moteur,Consigne,Sortie Reg.,S. Action P.
s,mm/s,mA,mm/s,mm/s,mm/s²,mm,V,mm/s,inc,mm/s
5.840,0.000,-35.156,0.000,0.000,-8.110,90.223,0.401,0.000,0.000,0.000
5.850,0.000,6.348,0.000,0.000,5.407,90.223,-0.119,0.000,0.000,0.000
5.860,0.000,-9.766,-0.132,-0.132,-5.407,90.223,0.250,0.000,0.000,0.000
5.870,0.132,6.836,-0.528,-0.528,-10.813,90.219,-0.456,0.000,2.000,0.264
5.880,0.528,1.465,0.396,0.396,8.110,90.219,0.347,0.000,8.000,1.056
5.890,-0.396,13.672,0.528,0.528,13.516,90.227,-0.510,0.000,-6.000,-0.792
5.900,-0.528,-9.766,-0.264,-0.264,2.703,90.225,0.043,0.000,-8.000,-1.056
5.910,0.264,-4.395,0.000,0.000,-16.220,90.224,0.141,0.000,4.000,0.528
5.920,0.000,19.531,0.000,0.000,8.110,90.225,-0.553,0.000,0.000,0.000
5.930,0.000,-12.207,-0.132,-0.132,5.407,90.225,0.412,0.000,0.000,0.000
5.940,0.132,-5.371,0.000,0.000,-16.220,90.225,0.434,0.000,2.000,0.264
5.950,0.000,3.418,0.132,0.132,8.110,90.225,0.022,0.000,0.000,0.000
5.960,-0.132,17.578,-0.132,-0.132,0.000,90.225,-0.477,0.000,-2.000,-0.264
5.970,0.132,-23.926,0.000,0.000,-2.703,90.225,0.380,0.000,2.000,0.264
5.980,0.000,15.625,0.132,0.132,2.703,90.225,-0.543,0.000,0.000,0.000
5.990,-0.132,22.461,0.000,0.000,5.407,90.225,-0.043,0.000,-2.000,-0.264
6.000,0.000,-19.043,0.000,0.000,-5.407,90.225,0.347,0.000,0.000,0.000
6.010,0.000,-13.672,0.132,0.132,2.703,90.225,0.174,0.000,0.000,0.000
6.020,-0.132,0.000,-0.396,-0.396,-5.407,90.223,-0.109,0.000,-2.000,-0.264
6.030,0.396,-1.465,-0.660,-0.660,-16.220,90.216,-0.380,0.000,6.000,0.792
6.040,0.660,-21.484,0.924,0.924,16.220,90.223,0.629,0.000,10.000,1.320
6.050,-0.924,19.043,-0.132,-0.132,8.110,90.223,-0.456,0.000,-14.000,-1.848
6.060,0.132,-8.789,-0.132,-0.132,0.000,90.221,0.434,0.000,2.000,0.264
6.070,0.132,-0.488,0.132,0.132,-21.626,90.222,-0.054,0.000,2.000,0.264
6.080,-0.132,19.531,-0.132,-0.132,32.439,90.222,-0.488,0.000,-2.000,-0.264
6.090,0.132,-22.949,0.000,0.000,-18.923,90.221,0.380,0.000,2.000,0.264
6.100,0.000,3.906,0.132,0.132,0.000,90.222,-0.174,0.000,0.000,0.000
6.110,-0.132,17.090,-0.132,-0.132,5.407,90.222,-0.358,0.000,-2.000,-0.264
6.120,0.132,-23.438,0.000,0.000,-5.407,90.221,0.260,0.000,2.000,0.264
6.130,0.000,-13.672,0.132,0.132,2.703,90.222,0.184,0.000,0.000,0.000
6.140,-0.132,26.367,0.000,0.000,5.407,90.223,-0.597,0.000,-2.000,-0.264
6.150,0.000,3.418,0.000,0.000,-5.407,90.222,0.130,0.000,0.000,0.000
6.160,0.000,-21.973,0.000,0.000,0.000,90.222,0.282,0.000,0.000,0.000
6.170,0.000,23.438,0.132,0.132,5.407,90.223,-0.510,0.000,0.000,0.000
6.180,-0.132,-7.324,0.264,0.264,2.703,90.224,0.271,0.000,-2.000,-0.264
6.190,-0.264,-6.348,0.000,-0.792,-16.220,90.219,-0.304,0.000,-4.000,-0.528
6.200,0.792,17.090,-0.396,-0.396,-10.813,90.212,-0.673,0.000,12.000,1.584
6.210,0.396,5.371,0.396,0.396,5.407,90.216,0.293,0.000,6.000,0.792
6.220,-0.396,-24.414,-0.132,-0.132,16.220,90.216,0.130,0.000,-6.000,-0.792
6.230,0.132,24.414,0.000,0.000,-13.516,90.216,-0.510,0.000,2.000,0.264
6.240,0.000,-15.137,0.000,0.000,0.000,90.216,0.260,0.000,0.000,0.000
6.250,0.000,-2.930,0.000,0.000,18.923,90.216,-0.098,0.000,0.000,0.000
6.260,0.000,19.531,0.000,0.000,-10.813,90.216,-0.228,0.000,0.000,0.000
6.270,0.000,-15.625,0.000,0.000,2.703,90.216,0.401,0.000,0.000,0.000
6.280,0.000,22.949,0.000,0.000,0.000,90.216,-0.499,0.000,0.000,0.000
6.290,0.000,20.020,0.000,0.000,0.000,90.216,-0.033,0.000,0.000,0.000
6.300,0.000,-21.973,0.000,0.000,0.000,90.216,0.347,0.000,0.000,0.000
6.310,0.000,-12.207,0.000,0.000,0.000,90.216,0.184,0.000,0.000,0.000
6.320,0.000,9.277,0.000,0.000,0.000,90.216,0.033,0.000,0.000,0.000
6.330,0.000,19.043,-0.660,-0.660,-13.516,90.211,-0.326,0.000,0.000,0.000
6.340,0.660,3.906,0.660,0.660,13.516,90.214,0.076,0.000,10.000,1.320
6.350,-0.660,13.672,1.056,1.056,21.626,90.227,-0.401,0.000,-10.000,-1.320
6.360,-1.056,-30.273,-0.264,-0.264,8.110,90.225,0.423,0.000,-16.000,-2.112
6.370,0.264,-6.348,0.000,0.000,-27.033,90.224,0.141,0.000,4.000,0.528
6.380,0.000,19.043,0.132,0.132,8.110,90.225,-0.521,0.000,0.000,0.000
6.390,-0.132,-20.996,-0.132,-0.132,10.813,90.225,0.369,0.000,-2.000,-0.264
