Temps,Consigne,Ecart,I moteur,vitesse,Sortie Reg.,U moteur
s,mm/s,mm/s,mA,mm/s,inc,V
0.600,99.915,15.311,111.816,84.604,232.000,19.444
0.610,99.915,15.311,118.164,85.000,232.000,19.499
0.620,99.915,15.707,111.328,84.736,238.000,19.542
0.630,99.915,15.311,112.793,84.736,232.000,19.434
0.640,99.915,15.179,112.305,84.868,230.000,19.640
0.650,99.915,14.915,113.770,85.000,226.000,19.792
0.660,99.915,15.179,110.352,84.604,230.000,19.455
0.670,99.915,15.311,110.352,84.604,232.000,19.607
0.680,99.915,15.443,113.281,84.472,234.000,19.716
0.690,99.915,15.311,112.793,84.604,232.000,19.651
0.700,99.915,15.443,110.352,84.604,234.000,19.607
0.710,99.915,15.311,109.863,84.604,232.000,19.661
0.720,99.915,15.443,111.328,84.604,234.000,19.564
0.730,99.915,15.311,116.699,84.604,232.000,19.520
0.740,99.915,15.311,107.910,84.604,232.000,19.727
0.750,99.915,15.311,119.141,84.472,232.000,19.629
0.760,99.915,15.443,119.141,84.472,234.000,19.727
0.770,99.915,15.311,110.840,84.208,232.000,19.520
0.780,99.915,15.575,116.699,84.340,236.000,19.358
0.790,99.915,15.707,109.863,84.208,238.000,19.314
0.800,99.915,15.575,113.281,84.208,236.000,19.542
0.810,99.915,15.970,116.699,84.076,242.000,19.499
0.820,99.915,15.970,116.699,83.944,242.000,19.510
0.830,99.915,15.839,122.070,83.944,240.000,19.347
0.840,99.915,15.839,114.258,83.944,240.000,19.510
0.850,99.915,15.839,116.211,83.944,240.000,19.477
0.860,99.915,15.970,116.211,83.944,242.000,19.271
0.870,99.915,16.102,112.793,83.284,244.000,19.520
0.880,99.915,16.102,121.094,83.944,244.000,19.379
0.890,99.915,16.102,117.188,83.680,244.000,19.488
0.900,99.915,16.102,120.117,83.812,244.000,19.499
0.910,99.915,15.970,117.188,83.812,242.000,19.260
0.920,99.915,16.234,116.211,83.812,246.000,19.520
0.930,99.915,16.102,119.141,83.812,244.000,19.401
0.940,99.915,15.970,117.188,83.812,242.000,19.379
0.950,99.915,16.102,118.164,84.076,244.000,19.596
0.960,99.915,15.970,115.234,83.944,242.000,19.553
0.970,99.915,15.707,121.094,84.076,238.000,19.444
0.980,99.915,15.970,119.629,84.076,242.000,19.455
0.990,99.915,16.234,118.652,83.944,246.000,19.672
1.000,99.915,15.707,118.164,84.076,238.000,19.455
1.010,99.915,15.839,116.699,84.076,240.000,19.661
1.020,99.915,15.970,116.699,84.076,242.000,19.564
1.030,99.915,15.970,115.723,84.076,242.000,19.455
1.040,99.915,15.839,115.234,84.076,240.000,19.564
1.050,99.915,15.839,119.141,84.208,240.000,19.564
1.060,99.915,15.839,113.770,84.208,240.000,19.586
1.070,99.915,15.707,116.211,84.208,238.000,19.727
