;;;;;;;;;;;;;;;;;;Nacelle NC10...
;;;;;;;;;;;;;;;;;;- Tableau des résultats -
 n° point;Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);
87;    0,354722;   20,000000;    0,354722;    4,945000;    0,353461;   20,000000;    0,353461;   10,939000;    0,354483;   20,000000;    0,354483;   18,336000;    0,354766;   20,000000;    0,354766;   23,760000;
88;    0,358807;   20,000000;    0,358807;    4,976000;    0,357560;   20,000000;    0,357560;   11,079000;    0,358565;   20,000000;    0,358565;   18,531000;    0,358848;   20,000000;    0,358848;   23,807000;
89;    0,362912;   20,000000;    0,362912;    5,011000;    0,361618;   20,000000;    0,361618;   11,239000;    0,362667;   20,000000;    0,362667;   18,864000;    0,362926;   20,000000;    0,362926;   23,721000;
90;    0,367054;   20,000000;    0,367054;    5,051000;    0,365724;   20,000000;    0,365724;   11,402000;    0,366761;   20,000000;    0,366761;   19,269000;    0,367016;   20,000000;    0,367016;   23,514000;
91;    0,371103;   20,000000;    0,371103;    5,082000;    0,369817;   20,000000;    0,369817;   11,549000;    0,370867;   20,000000;    0,370867;   19,684000;    0,371105;   20,000000;    0,371105;   23,216000;
92;    0,375181;   20,000000;    0,375181;    5,103000;    0,373921;   20,000000;    0,373921;   11,657000;    0,374953;   20,000000;    0,374953;   20,061000;    0,375244;   20,000000;    0,375244;   22,878000;
93;    0,379283;   20,000000;    0,379283;    5,103000;    0,378028;   20,000000;    0,378028;   11,710000;    0,379052;   20,000000;    0,379052;   20,346000;    0,379300;   20,000000;    0,379300;   22,548000;
94;    0,383389;   20,000000;    0,383389;    5,086000;    0,382103;   20,000000;    0,382103;   11,706000;    0,383157;   20,000000;    0,383157;   20,503000;    0,383468;   20,000000;    0,383468;   22,264000;
95;    0,387470;   20,000000;    0,387470;    5,051000;    0,386210;   20,000000;    0,386210;   11,637000;    0,387233;   20,000000;    0,387233;   20,531000;    0,387573;   20,000000;    0,387573;   22,063000;
96;    0,391572;   20,000000;    0,391572;    5,014000;    0,390313;   20,000000;    0,390313;   11,529000;    0,391339;   20,000000;    0,391339;   20,450000;    0,391651;   20,000000;    0,391651;   21,935000;
97;    0,395677;   20,000000;    0,395677;    4,979000;    0,394456;   20,000000;    0,394456;   11,397000;    0,395443;   20,000000;    0,395443;   20,267000;    0,395758;   20,000000;    0,395758;   21,886000;
