;;;;;;Nacelle NC10...
;;;;;;- Tableau des résultats -
 n° point;Temps (s);Consigne tangage (degrés);Temps (s);Angle axe tangage (degrés);
274;    1,119310;   -1,831000;    1,119310;   -2,104000;
275;    1,123414;   -1,890000;    1,123414;   -2,113000;
276;    1,127519;   -1,950000;    1,127519;   -2,144000;
277;    1,131624;   -2,009000;    1,131624;   -2,191000;
278;    1,135704;   -2,068000;    1,135704;   -2,253000;
279;    1,139795;   -2,126000;    1,139795;   -2,315000;
280;    1,143887;   -2,184000;    1,143887;   -2,384000;
281;    1,147984;   -2,242000;    1,147984;   -2,450000;
282;    1,152093;   -2,299000;    1,152093;   -2,530000;
283;    1,156176;   -2,356000;    1,156176;   -2,618000;
284;    1,160285;   -2,413000;    1,160285;   -2,711000;
285;    1,164359;   -2,469000;    1,164359;   -2,792000;
286;    1,168465;   -2,524000;    1,168465;   -2,858000;
287;    1,172585;   -2,580000;    1,172585;   -2,911000;
288;    1,176647;   -2,635000;    1,176647;   -2,951000;
289;    1,180750;   -2,689000;    1,180750;   -2,978000;
290;    1,184859;   -2,743000;    1,184859;   -2,996000;
291;    1,188937;   -2,797000;    1,188937;   -3,017000;
292;    1,193039;   -2,850000;    1,193039;   -3,034000;
293;    1,197174;   -2,903000;    1,197174;   -3,056000;
294;    1,201233;   -2,955000;    1,201233;   -3,082000;
295;    1,205351;   -3,007000;    1,205351;   -3,113000;
296;    1,209441;   -3,058000;    1,209441;   -3,140000;
297;    1,213515;   -3,108000;    1,213515;   -3,182000;
298;    1,217621;   -3,158000;    1,217621;   -3,232000;
299;    1,221727;   -3,208000;    1,221727;   -3,290000;
300;    1,225808;   -3,257000;    1,225808;   -3,357000;
301;    1,229906;   -3,305000;    1,229906;   -3,437000;
302;    1,234016;   -3,354000;    1,234016;   -3,520000;
303;    1,238092;   -3,401000;    1,238092;   -3,596000;
304;    1,242207;   -3,448000;    1,242207;   -3,665000;
305;    1,246283;   -3,494000;    1,246283;   -3,730000;
306;    1,250389;   -3,540000;    1,250389;   -3,797000;
307;    1,254490;   -3,585000;    1,254490;   -3,856000;
308;    1,258595;   -3,630000;    1,258595;   -3,912000;
309;    1,262653;   -3,673000;    1,262653;   -3,962000;
310;    1,266784;   -3,717000;    1,266784;   -4,005000;
311;    1,270857;   -3,759000;    1,270857;   -4,034000;
312;    1,274958;   -3,802000;    1,274958;   -4,053000;
313;    1,279066;   -3,843000;    1,279066;   -4,073000;
314;    1,283174;   -3,884000;    1,283174;   -4,103000;
315;    1,287253;   -3,924000;    1,287253;   -4,140000;
316;    1,291335;   -3,964000;    1,291335;   -4,177000;
317;    1,295434;   -4,003000;    1,295434;   -4,212000;
318;    1,299527;   -4,041000;    1,299527;   -4,248000;
319;    1,303618;   -4,078000;    1,303618;   -4,287000;
320;    1,307725;   -4,115000;    1,307725;   -4,328000;
